name,stars,count_reviews,coordinate,latitude,longitude,category
Stasiun Pasar Senen,4.4,8742,"-6.1747,106.8417751,17",-6.1747,106.8417751,train_station
Stasiun Pasoso,4.9,8,"-6.1094098,106.8814548,17",-6.1094098,106.8814548,train_station
Stasiun Pegangsaan,4.6,54,"-6.1568081,106.9122469,17",-6.1568081,106.9122469,train_station
Stasiun Pesing,3.0,5,"-6.1612837,106.7686988,17",-6.1612837,106.7686988,train_station
Stasiun Pondok Jati,4.1,254,"-6.2091932,106.8597089,17",-6.2091932,106.8597089,train_station
Stasiun Rajawali,4.2,332,"-6.145055,106.8341314,17",-6.145055,106.8341314,train_station
Stasiun Rawa Buaya,3.0,5,"-6.1626667,106.7211309,17",-6.1626667,106.7211309,train_station
Stasiun Sawah Besar,4.3,459,"-6.16068,106.8250651,17",-6.16068,106.8250651,train_station
Stasiun Sudirman,4.7,57,"-6.2015486,106.8171986,17",-6.2015486,106.8171986,train_station
Stasiun Sudirman Baru,4.7,57,"-6.201531,106.8170445,17",-6.201531,106.8170445,train_station
Stasiun Sungai Lagoa,4.8,4,"-6.11201,106.8737803,17",-6.11201,106.8737803,train_station
Stasiun Taman Kota,4.9,35,"-6.1594761,106.7541324,17",-6.1594761,106.7541324,train_station
Stasiun Tanah Abang,4.2,3181,"-6.1857021,106.8082787,17",-6.1857021,106.8082787,train_station
Stasiun Tanjung Barat,4.5,1215,"-6.3079138,106.83631,17",-6.3079138,106.83631,train_station
Stasiun Tanjung Priuk,4.7,154,"-6.1109799,106.8786086,17",-6.1109799,106.8786086,train_station
Stasiun Tebet,4.8,395,"-6.2258624,106.8562387,17",-6.2258624,106.8562387,train_station
Stasiun Universitas Pancasila,4.6,9,"-6.3392527,106.831904,17",-6.3392527,106.831904,train_station
Halte Busway ASMI,4.2,69,"-6.1717466,106.8861393,17",-6.1717466,106.8861393,bus_station
Halte Busway Adam Malik,3.7,33,"-6.2365393,106.7450323,17",-6.2365393,106.7450323,bus_station
Halte Busway Ahmad Yani Bea Cukai,4.4,34,"-6.20552,106.8711851,17",-6.20552,106.8711851,bus_station
Halte Busway Angkutan cepat bus,3.0,5,"-6.208428,106.7824432,15",-6.208428,106.7824432,bus_station
Halte Busway Atrium,5.0,1,"-6.17745,106.8383651,17",-6.17745,106.8383651,bus_station
Halte Busway BKN,4.4,36,"-6.2581174,106.8669566,17",-6.2581174,106.8669566,bus_station
Halte Busway BNN,4.0,140,"-6.2458606,106.8692819,17",-6.2458606,106.8692819,bus_station
Halte Busway Balai Kota,4.6,95,"-6.1805336,106.8248911,17",-6.1805336,106.8248911,bus_station
