,name,stars,count_reviews,coordinate
200,Halte Busway Jakarta,4.5,20,"-6.1368926,106.8122883,17"
201,Halte Busway Jati Padang,3.9,57,"-6.2881969,106.8223903,17"
202,Halte Busway Jatinegara RS Premier,5.0,1,"-6.2220062,106.8656116,17"
203,Halte Busway Jelambar,3.9,79,"-6.16655,106.7839251,17"
204,Halte Busway Jembatan Baru,4.4,100,"-6.154803,106.7277932,17"
205,Halte Busway Jembatan Besi,4.1,59,"-6.1520182,106.7923388,17"
206,Halte Busway Jembatan Dua,4.0,35,"-6.14328,106.7909451,17"
207,Halte Busway Jembatan Gantung,4.2,146,"-6.1554966,106.7468693,17"
208,Halte Busway Jembatan Merah,4.6,42,"-6.1467103,106.8317052,17"
209,Halte Busway Jembatan Tiga,3.6,33,"-6.1333618,106.7900753,17"
210,Halte Busway Juanda,4.5,1212,"-6.1679653,106.8279045,17"
211,Halte Busway Kali Besar Barat,4.5,57,"-6.1354882,106.8087136,17"
212,Halte Busway Kampung Melayu,4.0,387,"-6.2246731,106.8641557,17"
213,Halte Busway Kampung Sumur,4.0,46,"-6.21441,106.9093051,17"
214,Halte Busway Karet Kuningan,4.3,19,"-6.2148599,106.8150652,15"
215,Halte Busway Karet Sudirman,4.7,3,"-6.2193576,106.8114297,17"
216,Halte Busway Kayu Putih Rawasari,4.3,4,"-6.1874765,106.8728253,17"
217,Halte Busway Kebayoran Lama,3.0,5,"-6.2383454,106.7753745,17"
218,Halte Busway Kebayoran Lama Bungur,4.5,4,"-6.2547555,106.7793734,17"
219,Halte Busway Kebon Jeruk,4.3,6,"-6.1943248,106.7663022,17"
220,Halte Busway Kebon Pala,3.0,5,"-6.2217327,106.7933463,13"
221,Halte Busway Kedoya Assiddiqiyah,4.3,27,"-6.1745,106.7632751,17"
222,Halte Busway Kedoya Green Garden,4.4,66,"-6.16444,106.7604351,17"
223,Halte Busway Kelapa Dua Sasak,4.2,77,"-6.208428,106.7824432,15"
224,Halte Busway Kemayoran Landas Pacu Timur,4.5,63,"-6.15218,106.8516651,17"
225,Halte Busway Kramat Sentiong NU,4.9,13,"-6.1862843,106.847596,17"
226,Halte Busway Kuningan Barat,3.0,5,"-6.2084263,106.751543,13"
227,Halte Busway Kuningan Madya,4.2,44,"-6.21266,106.8278451,17"
228,Halte Busway Kuningan Timur,4.0,103,"-6.234819,106.826517,17"
229,Halte Busway Kwitang,4.4,57,"-6.1810686,106.8361184,17"
230,Halte Busway Latuharhari,4.4,33,"-6.2028065,106.8250829,17"
231,Halte Busway Latumeten Stasiun Grogol,4.2,139,"-6.1638999,106.78754,17"
232,Halte Busway Layur,4.6,57,"-6.1931278,106.8797118,15"
233,Halte Busway Mampang Prapatan,4.1,141,"-6.2426256,106.8231491,17"
234,Halte Busway Mangga Besar,5.0,1,"-6.153296,106.8149568,17"
235,Halte Busway Mangga Dua,3.8,4,"-6.1376459,106.8238329,17"
236,Halte Busway Manggarai,4.3,57,"-6.2089113,106.8447235,17"
237,Halte Busway Masjid Agung,4.0,1,"-6.208428,106.7824432,15"
238,Halte Busway Matraman 1,4.3,77,"-6.2000106,106.8518861,17"
239,Halte Busway Matraman 2,3.0,5,"-6.2072569,106.8509702,15"
240,Halte Busway Matraman Baru,4.0,64,"-6.2128733,106.8585886,17"
241,Halte Busway Mayestik,4.4,150,"-6.2418276,106.7878195,17"
242,Halte Busway Monumen Nasional,4.6,105408,"-6.1753924,106.8245779,17"
243,Halte Busway Museum Fatahillah,4.5,189,"-6.13393,106.8095151,17"
244,Halte Busway Olimo,4.2,62,"-6.1493,106.8141151,17"
245,Halte Busway PGC 1,4.3,306,"-6.2624862,106.8637836,17"
246,Halte Busway Pademangan,4.0,27,"-6.1337,106.8290651,17"
247,Halte Busway Pakin,3.6,16,"-6.12798,106.8021651,17"
248,Halte Busway Pal Putih,4.8,4,"-6.1836663,106.8422122,17"
249,Halte Busway Pancoran Barat,4.1,83,"-6.2416403,106.834596,17"
250,Halte Busway Pancoran Tugu,3.0,5,"-6.2424651,106.8353876,16"
251,Halte Busway Pangeran Jayakarta,4.3,35,"-6.1376002,106.8153154,17"
252,Halte Busway Pasar Baru,4.1,99,"-6.1661358,106.8322555,17"
253,Halte Busway Pasar Baru Timur,4.3,39,"-6.16227,106.8355351,17"
254,Halte Busway Pasar Cempaka Putih,3.0,5,"-6.2084215,106.7103404,12"
255,Halte Busway Pasar Enjo,4.4,44,"-6.2148666,106.8757288,17"
256,Halte Busway Pasar Genjing,4.3,50,"-6.1944421,106.8583207,17"
257,Halte Busway Pasar Induk Kramat Jati,3.0,5,"-6.208428,106.7824432,15"
258,Halte Busway Pasar Jatinegara,4.4,148,"-6.2157344,106.8637519,17"
259,Halte Busway Pasar Kebayoran Lama,4.1,15,"-6.238462,106.7806238,17"
260,Halte Busway Pasar Kramat Jati,3.0,5,"-6.2815667,106.8590143,15"
261,Halte Busway Pasar Pulo Gadung,4.5,23,"-6.1874739,106.9033652,17"
262,Halte Busway Pasar Rumput,4.2,136,"-6.2071384,106.8385618,17"
263,Halte Busway Patra Kuningan,5.0,2,"-6.2330006,106.8293786,17"
264,Halte Busway Pecenongan,4.1,36,"-6.16771,106.8256151,17"
265,Halte Busway Pedati Prumpung,3.9,15,"-6.221886,106.8717491,17"
266,Halte Busway Pedongkelan,4.3,33,"-6.1679768,106.8799621,17"
267,Halte Busway Pejaten,4.1,75,"-6.278396,106.827172,17"
268,Halte Busway Pemuda Pramuka,4.0,6,"-6.1923124,106.8716882,17"
269,Halte Busway Pemuda Rawamangun,4.4,117,"-6.1934911,106.8893433,17"
270,Halte Busway Penas Kalimalang,3.0,5,"-6.2237782,106.7566809,12"
271,Halte Busway Penggilingan,3.5,2,"-6.2122834,106.9379364,17"
272,Halte Busway Penjaringan,4.4,299,"-6.1262681,106.7894513,17"
