,name,url,stars,count_reviews
29,Sarinah,"https://www.google.com/maps/place/Sarinah,+Jl.+M.H.+Thamrin+No.11,+RT.8%2FRW.4,+Gondangdia,+Kec.+Menteng,+Kota+Jakarta+Pusat,+Daerah+Khusus+Ibukota+Jakarta+10350/@-6.208428,106.7824432,15z/data=!4m6!3m5!1s0x2e69f425e1ebb9df:0x8831eb5b0df677da!8m2!3d-6.1877696!4d106.8239218!16s%2Fg%2F11b6gcntks","Bintang 4,7 4.918 Ulasan","Bintang 4,7 4.918 Ulasan"
30,Senayan City,"https://www.google.com/maps/place/Senayan+City/@-6.208428,106.7824432,15z/data=!3m1!5s0x2e69f148621d78eb:0xaa9043c3527d6597!4m6!3m5!1s0x2e69f1485e476a65:0x300c043104acc004!8m2!3d-6.2271722!4d106.797085!16zL20vMDlfMjlu","Bintang 4,7",56.441 ulasan
31,Senayan Park,"https://www.google.com/maps/place/Senayan+Park/@-6.2122975,106.8027317,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7dc1362f23b:0xc0ea4d9a9d1b2936!8m2!3d-6.2122975!4d106.8053066!16s%2Fg%2F11fpqln6mn","Bintang 4,6",7.832 ulasan
32,Thamrin City,"https://www.google.com/maps/place/Thamrin+City/@-6.208428,106.7824432,15z/data=!4m6!3m5!1s0x2e69f69e2ca1776f:0x1b60abd2e0b3d6d1!8m2!3d-6.1939374!4d106.8161005!16s%2Fm%2F0lqg051","Bintang 4,4",30.172 ulasan
33,Aeon Mall Tanjung Barat,"https://www.google.com/maps/place/AEON+Mall+Tanjung+Barat/@-6.3056357,106.8379591,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69ede2e950e735:0x5ce799145dbf8630!8m2!3d-6.3056357!4d106.840534!16s%2Fg%2F11jks54x6x","Bintang 4,6",9.289 ulasan
34,Astha District 8,"https://www.google.com/maps/place/ASHTA+District+8/@-6.2299528,106.8045871,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5d14324edaf:0x1042cab307c13c5f!8m2!3d-6.2299528!4d106.807162!16s%2Fg%2F11j23phpzw","Bintang 4,7",8.756 ulasan
35,Blok M Plaza,"https://www.google.com/maps/place/Plaza+Bl.+M,+Kramat+Pela,+Kec.+Kby.+Baru,+Kota+Jakarta+Selatan,+Daerah+Khusus+Ibukota+Jakarta/@-6.2441311,106.7949975,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f16c7c876347:0xfe0ac443e22ff236!8m2!3d-6.2441311!4d106.7975724!16s%2Fg%2F122l8c2v","Bintang 4,4 4.629 Ulasan","Bintang 4,4 4.629 Ulasan"
36,Blok M Square,"https://www.google.com/maps/place/Blok+M+Square/@-6.208428,106.7824432,15z/data=!3m1!5s0x2e69f16ea3e2e873:0xba51b6adb5e3a2e2!4m6!3m5!1s0x2e69f1ebfd6daa4d:0x8f10b22d03d7c9db!8m2!3d-6.244593!4d106.800649!16s%2Fm%2F04jnzbm","Bintang 4,4",37.216 ulasan
37,Cilandak Town Square,"https://www.google.com/maps/place/Cilandak+Town+Square/@-6.2917804,106.7963884,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f1e67710fbf1:0x6917ab780cd8dff6!8m2!3d-6.2917804!4d106.7989633!16s%2Fg%2F122gwn_0","Bintang 4,5",43.866 ulasan
38,Epiwalk,"https://www.google.com/maps/search/epiwalk/@-6.2084215,106.7103404,12z/data=!3m1!4b1","Bintang 4,5 3.680 Ulasan","Bintang 4,5 3.680 Ulasan"
39,Gandaria City,"https://www.google.com/maps/place/Gandaria+City+Mall/@-6.208428,106.7824432,15z/data=!4m6!3m5!1s0x2e69f1175b92614f:0x6173704d396d5a99!8m2!3d-6.2441792!4d106.783529!16s%2Fg%2F1yjg7_2s8","Bintang 4,6",69.091 ulasan
40,Grand ITC Permata Hijau,"https://www.google.com/maps/place/Grand+ITC+Permata+Hijau./@-6.208428,106.7824432,15z/data=!4m6!3m5!1s0x2e69f1328304779d:0x58635aeb951ccaec!8m2!3d-6.2204885!4d106.7838475!16s%2Fg%2F11c2prl66h","Bintang 4,3",15.197 ulasan
41,ITC Cipulir,"https://www.google.com/maps/place/ITC+Cipulir/@-6.2372615,106.7629077,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f12074c64071:0xee956d128a6e0504!8m2!3d-6.2372615!4d106.7654826!16s%2Fg%2F11fy7g6j1k","Bintang 4,5",1.278 ulasan
42,ITC Fatmawati,"https://www.google.com/maps/place/ITC+Fatmawati,+Cipete+Utara,+Kec.+Kby.+Baru,+Kota+Jakarta+Selatan,+Daerah+Khusus+Ibukota+Jakarta/@-6.2642158,106.7965103,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f1994c7f9259:0x69e7f41a77595f2e!8m2!3d-6.2642158!4d106.7990852!16s%2Fg%2F11b6_mc7sn","Bintang 4,3 6.924 Ulasan","Bintang 4,3 6.924 Ulasan"
43,Kalibata City Square,"https://www.google.com/maps/place/Kalibata+City+Square,+Rawajati,+Kec.+Pancoran,+Kota+Jakarta+Selatan,+Daerah+Khusus+Ibukota+Jakarta/@-6.2561373,106.8483122,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f3b2dd22c6ed:0x8688d0d31cbdf8e3!8m2!3d-6.2561373!4d106.8508871!16s%2Fg%2F11rxpfxtm6","Bintang 3,3 4 Ulasan","Bintang 3,3 4 Ulasan"
44,Kota Kasablanka,"https://www.google.com/maps/place/Kota+Kasablanka/@-6.2240353,106.840023,17z/data=!3m2!4b1!5s0x2e69f38cc13b8945:0x3333a57010b83284!4m6!3m5!1s0x2e69f38d200f03e5:0xaf54cb631563acce!8m2!3d-6.2240353!4d106.8425979!16s%2Fg%2F1yjg8182b","Bintang 4,6",99.513 ulasan
